epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,836,,,,0.7458193302154541,0.7688471078872681,0.6009312868118286
0,836,0.651687502861023,0.7232037782669067,0.42722904682159424,,,
1,1673,,,,0.7720940113067627,0.780272364616394,0.6347840428352356
1,1673,0.7558730840682983,0.7868784070014954,0.6135057210922241,,,
2,2510,,,,0.7727516293525696,0.7991360425949097,0.635877788066864
2,2510,0.7912378311157227,0.8127570152282715,0.6590138077735901,,,
3,3347,,,,0.7794198393821716,0.8157711625099182,0.6480165123939514
3,3347,0.8136147260665894,0.8306021690368652,0.689341127872467,,,
4,4184,,,,0.8119145035743713,0.8274325728416443,0.6875917911529541
4,4184,0.825251042842865,0.8405854105949402,0.7056701183319092,,,
5,5021,,,,0.8218920826911926,0.8297231197357178,0.7033869624137878
5,5021,0.8381428122520447,0.8511227965354919,0.7241522073745728,,,
6,5858,,,,0.7875966429710388,0.8343079090118408,0.6632792353630066
6,5858,0.8456416726112366,0.8584023118019104,0.735082745552063,,,
7,6695,,,,0.7731817960739136,0.8585623502731323,0.6644800901412964
7,6695,0.8589960932731628,0.8669404983520508,0.7550628185272217,,,
8,7532,,,,0.8381733298301697,0.8444817066192627,0.727118968963623
8,7532,0.8657163977622986,0.8738743662834167,0.7653340101242065,,,
9,8369,,,,0.8241822719573975,0.8497108221054077,0.7077661156654358
9,8369,0.8712916970252991,0.8780372142791748,0.7738840579986572,,,
10,9206,,,,0.8385409116744995,0.8542423844337463,0.7271323204040527
10,9206,0.8798535466194153,0.8826044797897339,0.7873745560646057,,,
11,10043,,,,0.7961612343788147,0.8623671531677246,0.6860983371734619
11,10043,0.8825941681861877,0.8866150975227356,0.7916244864463806,,,
12,10880,,,,0.8533312678337097,0.8597505688667297,0.7490230202674866
12,10880,0.8872857689857483,0.8899397850036621,0.7991580367088318,,,
13,11717,,,,0.8451603055000305,0.8776065111160278,0.7391703128814697
13,11717,0.8915355801582336,0.8937088251113892,0.805968165397644,,,
14,12554,,,,0.8267809748649597,0.8707277178764343,0.719403088092804
14,12554,0.8969842195510864,0.8978428840637207,0.8148753643035889,,,
15,13391,,,,0.8800246715545654,0.8715822696685791,0.7901985049247742
15,13391,0.8990408778190613,0.8999127745628357,0.8181869387626648,,,
16,14228,,,,0.8568957448005676,0.8741973638534546,0.7547476291656494
16,14228,0.902137041091919,0.9023543000221252,0.8232687711715698,,,
17,15065,,,,0.8393822908401489,0.877484917640686,0.7372021675109863
17,15065,0.9056407809257507,0.9051937460899353,0.8291166424751282,,,
18,15902,,,,0.8917202353477478,0.8927823305130005,0.8068571090698242
18,15902,0.9080784320831299,0.9070596098899841,0.8331769108772278,,,
19,16739,,,,0.8756089210510254,0.8819778561592102,0.7818124890327454
19,16739,0.9094330668449402,0.9083112478256226,0.8353851437568665,,,
20,17576,,,,0.8761099576950073,0.8802551627159119,0.7842470407485962
20,17576,0.9128773808479309,0.9106380939483643,0.8413048386573792,,,
21,18413,,,,0.8783342242240906,0.8818894624710083,0.787602961063385
21,18413,0.9133760929107666,0.911553144454956,0.8420438170433044,,,
22,19250,,,,0.8891920447349548,0.8839614391326904,0.8045780062675476
22,19250,0.9144601225852966,0.9127396941184998,0.8438143730163574,,,
23,20087,,,,0.8798826932907104,0.8890398740768433,0.7896368503570557
23,20087,0.9170976281166077,0.9145694971084595,0.8483319282531738,,,
24,20924,,,,0.8664767146110535,0.8929637670516968,0.7706454992294312
24,20924,0.9174642562866211,0.9146908521652222,0.848996102809906,,,
25,21761,,,,0.8477914929389954,0.8920223116874695,0.7519798278808594
25,21761,0.9187766909599304,0.9166549444198608,0.851146936416626,,,
26,22598,,,,0.871982991695404,0.9097298979759216,0.7833307385444641
26,22598,0.9191734194755554,0.9166778922080994,0.8517817854881287,,,
27,23435,,,,0.8931743502616882,0.8864729404449463,0.8112353086471558
27,23435,0.9193024635314941,0.9165752530097961,0.8521250486373901,,,
28,24272,,,,0.8430105447769165,0.8912971615791321,0.7465425133705139
28,24272,0.9192461371421814,0.9167532324790955,0.8519832491874695,,,
29,25109,,,,0.8738294839859009,0.8893598914146423,0.7806680798530579
29,25109,0.9198744297027588,0.917088508605957,0.8531023859977722,,,
